sex,birth_year,marital_status,religion,job_code,income,region_code
female,1954,1,2,,,6
male,1977,1,2,271.0,672.0,1
female,1979,1,2,313.0,286.6,1
female,1979,1,2,,,1
male,2010,0,2,,,1
male,1980,1,2,313.0,375.0,1
female,1969,1,2,,,2
male,1970,1,2,312.0,610.0,2
female,1946,2,1,721.0,153.0,1
male,1982,1,1,761.0,410.0,2
female,1982,1,1,,,2
female,2008,0,1,,,2
female,1949,2,1,941.0,67.0,1
male,1975,5,2,773.0,180.0,1
female,1997,0,1,,,1
male,2000,0,1,,,1
male,1963,1,1,722.0,215.5,1
female,1973,1,1,,,1
female,1998,0,1,,,1
female,2000,0,1,,,1
female,2004,0,1,,,1
female,2007,0,1,,,1
female,1943,2,1,,,1
male,1932,1,1,,,1
female,1938,1,1,,,1
male,1969,5,1,,,1
female,1930,2,2,,,1
female,1953,3,1,,,2
female,1983,1,2,,,2
female,2013,0,2,,,2
male,1978,1,2,892.0,280.0,2
male,2010,0,2,,,2
male,1965,1,2,235.0,500.0,1
female,1974,1,2,313.0,218.3,1
female,2004,0,2,,,1
female,2006,0,2,,,1
male,1969,1,2,311.0,503.0,2
female,1973,1,1,252.0,465.0,2
female,2000,0,2,,,2
male,2003,0,2,,,2
female,1943,3,2,941.0,76.1,1
male,1969,1,2,411.0,531.0,1
female,1972,1,2,259.0,140.0,1
female,2000,0,1,,,1
female,2002,0,1,,,1
male,1975,1,2,852.0,365.5,1
female,1976,1,2,,,1
male,2004,0,2,,,1
male,2009,0,2,,,1
female,1939,2,1,,,1
male,1969,5,1,,,1
male,1956,1,2,,,1
female,1958,1,1,,,1
female,1963,5,2,,,1
female,1989,5,2,,,1
male,1948,1,1,873.0,,1
female,1954,1,1,,,1
female,1979,1,2,,,1
male,1979,1,2,873.0,286.16,1
female,2011,0,2,,,1
male,2013,0,2,,,1
male,1957,1,1,773.0,,1
female,1955,1,1,,,1
male,1968,1,2,871.0,520.8,1
female,1971,1,2,,,1
male,1999,0,2,,,1
male,1958,2,1,773.0,,1
female,1990,5,1,,,1
male,1993,5,1,,,1
male,1955,1,2,141.0,417.0,1
female,1962,1,2,391.0,167.0,1
female,1986,5,2,,,1
male,1990,5,2,,,1
female,1950,5,2,,,1
female,1930,2,1,,,1
male,1933,1,1,,,1
female,1939,1,1,,,1
male,1965,5,1,,,1
female,1940,2,1,,,1
male,1942,3,1,941.0,,1
male,1975,1,2,510.0,393.2,1
female,1980,1,2,,,1
male,2007,0,2,,,1
female,2009,0,2,,,1
male,1952,1,1,,,1
female,1960,1,1,,,1
female,1982,1,1,892.0,165.6,1
male,1984,5,1,,,1
male,1935,1,2,,,1
female,1942,1,1,,,1
male,1973,1,1,773.0,,1
female,1976,1,1,,,1
